Country_Name	Production_Date	Country	Vaccine	Year	WUENIC	Rule	Explanation	Data	
Sudan	Mon May 03 12:24:15 2010	sdn	bcg	1997	0.7	AP:X	Legacy estimate. []	[RTS=,0.9,RA=,0.9,Rpt=,0.9,Gov=,,Admin=,,Legacy=,0.7,SR=,,SA=,,Surv=,]	
Sudan	Mon May 03 12:24:15 2010	sdn	bcg	1998	0.72	IBAP:X-R	Estimate interpolated between 1997 and 1999. []	[RTS=,0.8,RA=,0.8,Rpt=,0.8,Gov=,,Admin=,,Legacy=,0.61,SR=,,SA=,,Surv=,]	
Sudan	Mon May 03 12:24:15 2010	sdn	bcg	1999	0.73	AP:R	Survey (0.66) confirms trend in reported data.  [1999 reported data (0.92) inconsistent; unexplained temporal change.]	[RTS=,0.73,RA=,,Rpt=,0.92,Gov=,0.92,Admin=,1.02,Legacy=,0.68,SR=,0.66,SA=,[0.66],Surv=,[0.66]]	
Sudan	Mon May 03 12:24:15 2010	sdn	bcg	2000	0.66	RBAP: R-R	 []	[RTS=,0.66,RA=,0.66,Rpt=,0.66,Gov=,0.66,Admin=,0.66,Legacy=,0.56,SR=,,SA=,,Surv=,]	
Sudan	Mon May 03 12:24:15 2010	sdn	bcg	2001	0.71	RBAP: R-R	 []	[RTS=,0.71,RA=,0.71,Rpt=,0.71,Gov=,0.71,Admin=,0.71,Legacy=,0.67,SR=,,SA=,,Surv=,]	
Sudan	Mon May 03 12:24:15 2010	sdn	bcg	2002	0.68	RBAP: R-R	 []	[RTS=,0.68,RA=,0.68,Rpt=,0.68,Gov=,0.68,Admin=,0.68,Legacy=,0.65,SR=,,SA=,,Surv=,]	
Sudan	Mon May 03 12:24:15 2010	sdn	bcg	2003	0.73	RBAP: R-R	 []	[RTS=,0.73,RA=,0.73,Rpt=,0.73,Gov=,0.73,Admin=,0.73,Legacy=,0.69,SR=,,SA=,,Surv=,]	
Sudan	Mon May 03 12:24:15 2010	sdn	bcg	2004	0.71	RBAP: R-R	 []	[RTS=,0.71,RA=,0.71,Rpt=,0.71,Gov=,0.71,Admin=,0.71,Legacy=,0.66,SR=,,SA=,,Surv=,]	
Sudan	Mon May 03 12:24:15 2010	sdn	bcg	2005	0.77	AP:R	Survey (0.75) confirms reported data (0.77).  []	[RTS=,0.77,RA=,0.77,Rpt=,0.77,Gov=,0.77,Admin=,0.77,Legacy=,0.72,SR=,0.75,SA=,[0.75],Surv=,[0.75]]	
Sudan	Mon May 03 12:24:15 2010	sdn	bcg	2006	0.78	RFAP:R	Estimate based on trend in reported data.  []	[RTS=,0.78,RA=,0.78,Rpt=,0.78,Gov=,0.78,Admin=,0.78,Legacy=,0.77,SR=,,SA=,,Surv=,]	
Sudan	Mon May 03 12:24:15 2010	sdn	bcg	2007	0.85	RFAP:R	Estimate based on trend in reported data.  []	[RTS=,0.85,RA=,0.85,Rpt=,0.85,Gov=,0.85,Admin=,0.85,Legacy=,0.83,SR=,,SA=,,Surv=,]	
